date,name,sick,healed,died,date_text
2020-04-10,Москва,7822,350,50,По состоянию на 10 апреля 10:30
2020-04-10,Московская область,930,66,13,По состоянию на 10 апреля 10:30
2020-04-10,Санкт-Петербург,408,43,4,По состоянию на 10 апреля 10:30
2020-04-10,Республика Коми,208,1,3,По состоянию на 10 апреля 10:30
2020-04-10,Ленинградская область,129,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Краснодарский край,125,15,3,По состоянию на 10 апреля 10:30
2020-04-10,Нижегородская область,119,14,1,По состоянию на 10 апреля 10:30
2020-04-10,Брянская область,97,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Тульская область,71,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Мурманская область,67,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Пензенская область,67,1,1,По состоянию на 10 апреля 10:30
2020-04-10,Республика Марий Эл,63,2,1,По состоянию на 10 апреля 10:30
2020-04-10,Калининградская область,62,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Свердловская область,61,25,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Бурятия,60,12,1,По состоянию на 10 апреля 10:30
2020-04-10,Ивановская область,60,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Дагестан,58,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Липецкая область,55,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Ставропольский край,52,6,1,По состоянию на 10 апреля 10:30
2020-04-10,Республика Татарстан,50,11,0,По состоянию на 10 апреля 10:30
2020-04-10,Пермский край,45,6,3,По состоянию на 10 апреля 10:30
2020-04-10,Владимирская область,42,0,1,По состоянию на 10 апреля 10:30
2020-04-10,Ямало-Ненецкий автономный округ,41,0,1,По состоянию на 10 апреля 10:30
2020-04-10,Ханты-Мансийский АО,41,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Башкортостан,40,6,0,По состоянию на 10 апреля 10:30
2020-04-10,Ульяновская область,40,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Красноярский край,39,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Рязанская область,38,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Вологодская область,38,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Воронежская область,37,9,0,По состоянию на 10 апреля 10:30
2020-04-10,Саратовская область,34,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Челябинская область ,34,10,0,По состоянию на 10 апреля 10:30
2020-04-10,Тамбовская область,33,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Чувашия,32,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Ингушетия,29,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Ростовская область,29,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Кировская область,29,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Крым,29,7,0,По состоянию на 10 апреля 10:30
2020-04-10,Хабаровский край,28,6,1,По состоянию на 10 апреля 10:30
2020-04-10,Волгоградская область,28,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Северная Осетия — Алания,27,1,1,По состоянию на 10 апреля 10:30
2020-04-10,Кабардино-Балкарская Республика,27,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Белгородская область,26,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Оренбургская область,25,4,1,По состоянию на 10 апреля 10:30
2020-04-10,Орловская область,24,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Архангельская область,24,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Тверская область,24,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Калмыкия,23,5,0,По состоянию на 10 апреля 10:30
2020-04-10,Тюменская область,22,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Чеченская Республика,22,15,1,По состоянию на 10 апреля 10:30
2020-04-10,Курская область,21,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Алтайский край,21,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Астраханская область,21,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Иркутская область,21,0,2,По состоянию на 10 апреля 10:30
2020-04-10,Новосибирская область,21,8,0,По состоянию на 10 апреля 10:30
2020-04-10,Приморский край,20,2,2,По состоянию на 10 апреля 10:30
2020-04-10,Республика Адыгея,20,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Самарская область,20,11,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Мордовия,19,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Калужская область,18,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Новгородская область,18,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Омская область,17,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Саха (Якутия),16,10,0,По состоянию на 10 апреля 10:30
2020-04-10,Псковская область,16,5,2,По состоянию на 10 апреля 10:30
2020-04-10,Костромская область,15,3,1,По состоянию на 10 апреля 10:30
2020-04-10,Ярославская область,13,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Смоленская область,13,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Кемеровская область,11,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Удмуртская Республика,11,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Сахалинская область,11,4,0,По состоянию на 10 апреля 10:30
2020-04-10,Карачаево-Черкесская Республика,9,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Хакасия,9,3,0,По состоянию на 10 апреля 10:30
2020-04-10,Еврейская автономная область,8,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Тыва,6,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Камчатский край,5,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Севастополь,5,2,0,По состоянию на 10 апреля 10:30
2020-04-10,Амурская область,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Томская область,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Забайкальский край,4,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Курганская область,3,1,0,По состоянию на 10 апреля 10:30
2020-04-10,Республика Карелия,2,0,0,По состоянию на 10 апреля 10:30
2020-04-10,Магаданская область,1,1,0,По состоянию на 10 апреля 10:30
