date,name,sick,healed,died,date_text
2020-04-12,Санкт-Петербург,488,74,4,По состоянию на 11 апреля 11:15
2020-04-12,Республика Коми,208,1,3,По состоянию на 11 апреля 11:15
2020-04-12,Нижегородская область,152,14,1,По состоянию на 11 апреля 11:15
2020-04-12,Краснодарский край,138,25,3,По состоянию на 11 апреля 11:15
2020-04-12,Ленинградская область,134,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Брянская область,123,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Дагестан,84,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Свердловская область,74,32,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Татарстан,73,11,0,По состоянию на 11 апреля 11:15
2020-04-12,Тульская область,71,9,0,По состоянию на 11 апреля 11:15
2020-04-12,Мурманская область,67,6,0,По состоянию на 11 апреля 11:15
2020-04-12,Пензенская область,67,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Ставропольский край,66,9,2,По состоянию на 11 апреля 11:15
2020-04-12,Республика Башкортостан,65,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Калининградская область,65,12,1,По состоянию на 11 апреля 11:15
2020-04-12,Республика Марий Эл,63,3,1,По состоянию на 11 апреля 11:15
2020-04-12,Ульяновская область,62,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Ивановская область,62,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Бурятия,61,14,1,По состоянию на 11 апреля 11:15
2020-04-12,Красноярский край,60,8,0,По состоянию на 11 апреля 11:15
2020-04-12,Липецкая область,58,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Рязанская область,55,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Ямало-Ненецкий автономный округ,50,0,1,По состоянию на 11 апреля 11:15
2020-04-12,Владимирская область,48,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Пермский край,45,15,3,По состоянию на 11 апреля 11:15
2020-04-12,Курская область,42,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Ханты-Мансийский АО,41,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Челябинская область ,40,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Вологодская область,39,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Чувашия,39,1,0,По состоянию на 11 апреля 11:15
2020-04-12,Ростовская область,38,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Воронежская область,37,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Саратовская область,35,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Кировская область,35,9,0,По состоянию на 11 апреля 11:15
2020-04-12,Волгоградская область,33,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Тамбовская область,33,6,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Калмыкия,32,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Тверская область,31,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Чеченская Республика,30,15,1,По состоянию на 11 апреля 11:15
2020-04-12,Тюменская область,30,4,0,По состоянию на 11 апреля 11:15
2020-04-12,Кабардино-Балкарская Республика,30,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Орловская область,29,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Алтайский край,29,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Крым,29,7,0,По состоянию на 11 апреля 11:15
2020-04-12,Хабаровский край,29,7,2,По состоянию на 11 апреля 11:15
2020-04-12,Республика Ингушетия,29,0,0,По состоянию на 11 апреля 11:15
2020-04-12,Новосибирская область,28,10,0,По состоянию на 11 апреля 11:15
2020-04-12,Республика Северная Осетия — Алания,27,1,1,По состоянию на 11 апреля 11:15
2020-04-12,Белгородская область,26,2,0,По состоянию на 11 апреля 11:15
2020-04-12,Оренбургская область,25,4,1,По состоянию на 11 апреля 11:15
2020-04-12,Архангельская область,24,5,0,По состоянию на 11 апреля 11:15
2020-04-12,Калужская область,24,3,0,По состоянию на 11 апреля 11:15
2020-04-12,Приморский край,23,2,2,По состоянию на 11 апреля 11:15
2020-04-12,Иркутская область,23,0,2,По состоянию на 11 апреля 11:15
2020-04-12,Самарская область,21,14,0,По состоянию на 11 апреля 11:15
